Year/Month,"Coffee, Other Mild Arabica ","Dairy Products, Milk","Sugar, No. 11, World ","Tea, Kenyan "
1990M1,0.7582998657000001,,0.1420000076,1.1472725127232812
1990M2,0.8401000976999999,,0.1465000153,0.9583964279558382
1990M3,0.9395999146,,0.1531000137,0.8736199712422096
1990M4,0.9373001099,,0.1524000168,0.8836443359853399
1990M5,0.9201998901,,0.1461999893,0.8483094787310286
1990M6,0.8826000976999999,,0.1297000122,0.8232257962823526
1990M7,0.8648001099,,0.12,0.8608739524271758
1990M8,0.9442001342999999,,0.1093000031,0.7917464374812893
1990M9,0.9492001342999999,,0.1102000046,0.8402808647295227
1990M10,0.9141000366,,0.09389999389999999,0.9988115725158986
1990M11,0.8483999634,,0.1006000137,1.03691341863904
1990M12,0.8989001464999999,,0.09740001678,0.9976775902423094
1991M1,0.8632000732,,0.08799999237,1.0713411036822673
1991M2,0.8957000732,,0.08509998322,0.9087734217234718
1991M3,0.9372000122,,0.0913999939,0.8379675658390109
1991M4,0.9226998901000001,,0.08509998322,0.8257205019459135
1991M5,0.8758999634,,0.07588099957,0.7869270128185357
1991M6,0.855,,0.09200000763,0.7425769824278108
1991M7,0.8280825806,,0.103219986,0.6910311069481364
1991M8,0.8161880493,,0.09588298798,0.7353761537135652
1991M9,0.8745098876999999,,0.09295501709,0.790572519073582
1991M10,0.7986181641000001,,0.09125881195,0.8430182997523383
1991M11,0.7851779175,,0.08632999420000001,0.8938955797370975
1991M12,0.7509667969,,0.09001903534,0.9009716182380637
1992M1,0.7303181818,,0.08424091339,0.7950435957217117
1992M2,0.69298,,0.07842999935,0.7371170628044743
1992M3,0.6989363636,,0.08250453949,0.7504104857072875
1992M4,0.6652227273,,0.09455715179,0.8748224047681687
1992M5,0.6079666667,,0.09613334656,0.9580630993096316
1992M6,0.5944818182,,0.1034772873,0.9142487068066153
1992M7,0.5834913043000001,,0.1031217575,0.93625747248959
1992M8,0.5335380952,,0.09864761353000001,1.0027151740435993
1992M9,0.5167318182,,0.09312274932999999,1.0024974997958833
1992M10,0.5083,,0.08705455779999999,0.910778308279885
1992M11,0.5251285714,,0.08559524536,0.9236907149531439
1992M12,0.7513913042999999,,0.08148636818,1.0664989776015823
